Examination,Date,Question Number,Question Type,Credit,Weight,Standard,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,,,,,,,,
Algebra I,June '22,9,MC,2,1,A-SSE,Seeing Structure in Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '22,10,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,11,MC,2,1,A-CED,Creating Equations,1,,,,,,,,,,,,,,,
Algebra I,June '22,12,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,June '22,13,MC,2,1,A-CED,Creating Equations,1,,,,,,,,,,,,,,,
Algebra I,June '22,14,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,3,,,,,,,,,,,,,,,
Algebra I,June '22,15,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,16,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '22,17,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,3,,,,,,,,,,,,,,,
Algebra I,June '22,18,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '22,19,MC,2,1,F-IF,Interpreting Functions,3,,,,,,,,,,,,,,,
Algebra I,June '22,20,MC,2,1,A-SSE,Seeing Structure in Expressions,2,,,,,,,,,,,,,,,
Algebra I,June '22,21,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,,,,,,,,,,,,,,,
Algebra I,June '22,22,MC,2,1,N-Q,Quantities,1,,,,,,,,,,,,,,,
Algebra I,June '22,23,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '22,24,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,1,MC,2,1,F-BF,Building Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,2,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,,,,,,,,,,,,,,,
Algebra I,June '21,3,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,4,MC,2,1,F-IF,Interpreting Functions,4,,,,,,,,,,,,,,,
Algebra I,June '21,5,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '21,6,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,,,,,,,,,,,,,,,
Algebra I,June '21,7,MC,2,1,A-CED,Creating Equations,2,,,,,,,,,,,,,,,
