Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,,
Algebra I,August '18,13,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,1,32.76%,16.34%,17.10%,33.33%,0.47%,https://docs.google.com/document/d/1T5m_D4H03o8h8CcR8MW2ThxNngzeXc-g6woaWcwMPM0/edit?usp=drivesdk,0.33,A-APR.A,,
Algebra I,August '18,14,MC,S-ID,B,Interpreting Categorical and Quantitative Data,2,18.92%,41.46%,27.74%,11.53%,0.35%,https://docs.google.com/document/d/18u3Z7HAY4qAypwOLwJ6JAO6F2y-xIN523G-2pOrXPXY/edit?usp=drivesdk,0.41,S-ID.B,,
Algebra I,August '18,15,MC,F-IF,C,Interpreting Functions,4,16.26%,15.49%,33.36%,34.26%,0.64%,https://docs.google.com/document/d/1hbnWArpiWozBMZ10zd5RZMkNgFQbQUd8hn5sakiFEEs/edit?usp=drivesdk,0.34,F-IF.C,,
Algebra I,August '18,16,MC,A-SSE,B,Seeing Structure in Expressions,2,22.55%,39.70%,23.36%,14.08%,0.30%,https://docs.google.com/document/d/1UW3WM7GT1lW7x0Ndl_smdLxRrZtOx7tbb7E9QpFv59A/edit?usp=drivesdk,0.40,A-SSE.B,,
Algebra I,August '18,17,MC,A-SSE,A,Seeing Structure in Expressions,2,53.70%,25.06%,14.80%,6.26%,0.18%,https://docs.google.com/document/d/1jOKbOsF1fFYngGMG_ECqEvzSmXRWUPPMK6XaDihL300/edit?usp=drivesdk,0.25,A-SSE.A,,
Algebra I,August '18,18,MC,A-REI,D,Reasoning with Equations and Inequalities,1,26.76%,24.82%,22.66%,25.07%,0.69%,https://docs.google.com/document/d/1vm0U9GcCESwwEpr-0cEqixkDP0VEVvlMQUQurogJWzs/edit?usp=drivesdk,0.27,A-REI.D,,
Algebra I,August '18,19,MC,A-REI,D,Reasoning with Equations and Inequalities,3,14.40%,20.15%,39.95%,25.15%,0.35%,https://docs.google.com/document/d/1UM4PSrS9K1yApEGdI6_MyBeo59rzLv6Qa03Vied0HfU/edit?usp=drivesdk,0.40,A-REI.D,,
Algebra I,August '18,20,MC,F-IF,A,Interpreting Functions,4,15.38%,21.51%,30.50%,32.22%,0.39%,https://docs.google.com/document/d/1B7_VwJswffKF0eAtKI3JBvFgVAtrtgWutUsESK22onM/edit?usp=drivesdk,0.32,F-IF.A,,
Algebra I,August '18,21,MC,S-ID,C,Interpreting Categorical and Quantitative Data,3,23.78%,23.88%,40.38%,11.60%,0.36%,https://docs.google.com/document/d/1y7uVVaK890v6r7rZFTKw3pdsr4fUXpJVXdGymDTH5dQ/edit?usp=drivesdk,0.40,S-ID.C,,
Algebra I,August '18,22,MC,A-REI,C,Reasoning with Equations and Inequalities,3,16.13%,29.88%,33.19%,20.27%,0.53%,https://docs.google.com/document/d/16hQoH69Ho4uP4bRfA6_HViAeEINXgPXx54JjM1lWobs/edit?usp=drivesdk,0.33,A-REI.C,,
Algebra I,August '18,23,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",4,25.50%,14.90%,27.12%,32.22%,0.26%,https://docs.google.com/document/d/1s4WiJXRCWk9_iB4V8znC9yrguN5KtIodJyr-5yE94a0/edit?usp=drivesdk,0.32,F-LE.A,,
Algebra I,August '18,24,MC,A-SSE,A,Seeing Structure in Expressions,3,21.18%,31.75%,25.03%,21.56%,0.49%,https://docs.google.com/document/d/14WOiwYr--m7A0l4oU3l7NXBfNsBiGe2vRtzeAgE4sfg/edit?usp=drivesdk,0.25,A-SSE.A,,
